ma_gia_su,ho_ten,gioi_tinh,nam_sinh,hoc_vi,chuyen_nganh,truong_hoc_ma,truong_hoc_ten,loai_truong,khu_vuc_ma,ten_khu_vuc,quan_huyen,tinh_thanh,nam_kinh_nghiem,hinh_thuc_day,hoc_phi_trung_binh_gio,nguon_du_lieu,trang_thai,ngay_cap_nhat,mon_hoc_ma,ten_mon_hoc,nhom_mon_hoc,lop_hoc_ma,lop_hoc_ten,cap_hoc,hoc_phi_trung_binh_gio_day_mon,ma_hoc_sinh_danh_gia,diem_xep_hang,ngay_danh_gia
GS_EX_0001,Đặng Hải Tuấn,nam,1999,Ky su,Quản trị Kinh doanh,DH_NL_HCM,Đại học Nông Lâm TP.HCM,dai_hoc,KV_HN_LB,Long Biên,Long Biên,Hà Nội,1,online,200000,excel,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,LOP_12,Lớp 12,thpt,200000,HS_EX_0593,4.64,2026-03-08
GS_EX_0002,Lý Thu Vy,nu,1998,Ky su,Ngôn ngữ Anh,DH_GTVT,Đại học Giao thông Vận tải,dai_hoc,KV_HCM_BT,Bình Thạnh,Bình Thạnh,Hồ Chí Minh,3,ca_hai,150000,excel,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,LOP_09,Lớp 9,thcs,150000,HS_EX_0772,4.64,2026-03-14
GS_EX_0003,Đỗ Thái Khoa,nam,1998,Thac si,Quản trị Kinh doanh,DH_Y_HCM,Đại học Y Dược TP.HCM,dai_hoc,KV_HCM_Q10,Quận 10,Quận 10,Hồ Chí Minh,6,truc_tiep,150000,excel,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_12,Lớp 12,thpt,150000,HS_EX_0345,4.93,2026-03-25
GS_EX_0004,Phạm Hồng An,nu,2001,Thac si,Ngôn ngữ Anh,DH_Y_HN,Đại học Y Hà Nội,dai_hoc,KV_HN_TX,Thanh Xuân,Thanh Xuân,Hà Nội,8,ca_hai,250000,excel,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,LOP_12,Lớp 12,thpt,250000,HS_EX_0667,4.43,2026-03-12
GS_EX_0005,Ngô Đình Tuấn,nam,1996,Cu nhan,Công nghệ thông tin,DH_UEH,Đại học Kinh tế TP.HCM,dai_hoc,KV_DN_ST,Sơn Trà,Sơn Trà,Đà Nẵng,2,truc_tiep,250000,excel,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,LOP_09,Lớp 9,thcs,250000,HS_EX_0434,4.68,2026-03-21
GS_EX_0006,Dương Bảo Châu,nu,2001,Cu nhan,Quản trị Kinh doanh,DH_FPT,Đại học FPT,dai_hoc,KV_DN_ST,Sơn Trà,Sơn Trà,Đà Nẵng,4,truc_tiep,250000,excel,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,LOP_10,Lớp 10,thpt,250000,HS_EX_0954,3.64,2026-03-19
GS_EX_0007,Đỗ Xuân Châu,nu,2001,Cu nhan,Quản trị Kinh doanh,DH_NT_HN,Đại học Ngoại thương Hà Nội,dai_hoc,KV_DN_ST,Sơn Trà,Sơn Trà,Đà Nẵng,2,online,250000,excel,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_10,Lớp 10,thpt,250000,HS_EX_0601,4.66,2026-03-30
GS_EX_0008,Lý Thu Thu,nu,2003,Ky su,Ngôn ngữ Anh,DH_CNTT,Đại học Công nghệ Thông tin TP.HCM,dai_hoc,KV_HCM_Q8,Quận 8,Quận 8,Hồ Chí Minh,1,truc_tiep,150000,excel,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_09,Lớp 9,thcs,150000,HS_EX_0211,3.86,2026-03-09
GS_EX_0009,Nguyễn Thanh Nhung,nu,1998,Cu nhan,Công nghệ thông tin,DH_DN,Đại học Đà Nẵng,dai_hoc,KV_HCM_Q10,Quận 10,Quận 10,Hồ Chí Minh,4,ca_hai,200000,excel,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,LOP_06,Lớp 6,thcs,200000,HS_EX_0614,4.64,2026-03-25
GS_EX_0010,Vũ Bảo Linh,nu,1995,Thac si,Ngôn ngữ Anh,DH_DN,Đại học Đà Nẵng,dai_hoc,KV_HCM_Q1,Quận 1,Quận 1,Hồ Chí Minh,6,online,150000,excel,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,LOP_10,Lớp 10,thpt,150000,,,
