ma_hoc_sinh,ho_ten,truong_hoc_ma,truong_hoc_ten,loai_truong,lop_hoc_ma,lop_hoc_ten,cap_hoc,khu_vuc_ma,ten_khu_vuc,quan_huyen,tinh_thanh,hoc_luc,nguon_du_lieu,trang_thai,ngay_cap_nhat,mon_hoc_ma,ten_mon_hoc,nhom_mon_hoc,hinh_thuc_hoc,muc_tieu_hoc_tap,ngan_sach_toi_da_gio,so_buoi_moi_tuan,trang_thai_nhu_cau,ngay_dang
HS_WB_0001,Lý Thái Huy,THPT_TDN,THPT Chuyên Trần Đại Nghĩa,thpt,LOP_10,Lớp 10,thpt,KV_HN_HM,Hoàng Mai,Hoàng Mai,Hà Nội,xuat_sac,web,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,ca_hai,Cải thiện điểm số,150000,4,dang_tim_gia_su,2026-03-25
HS_WB_0002,Lê Thanh Thu,THPT_TL,THPT Thăng Long,thpt,LOP_09,Lớp 9,thcs,KV_DN_LC,Liên Chiểu,Liên Chiểu,Đà Nẵng,kha,web,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,online,Cải thiện điểm số,150000,3,dang_tim_gia_su,2026-03-10
HS_WB_0003,Vũ Thanh Thu,THPT_TTT,THPT Tôn Thất Tùng,thpt,LOP_12,Lớp 12,thpt,KV_HN_HM,Hoàng Mai,Hoàng Mai,Hà Nội,xuat_sac,web,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,truc_tiep,Cải thiện điểm số,150000,2,dang_tim_gia_su,2026-03-08
HS_WB_0004,Phạm Đức Huy,THPT_TPh,THPT Thái Phiên,thpt,LOP_12,Lớp 12,thpt,KV_DN_CL,Cẩm Lệ,Cẩm Lệ,Đà Nẵng,xuat_sac,web,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,ca_hai,Cải thiện điểm số,250000,2,dang_tim_gia_su,2026-03-13
HS_WB_0005,Phạm Đức Cường,THPT_NH,THPT Nguyễn Hiền,thpt,LOP_06,Lớp 6,thcs,KV_DN_ST,Sơn Trà,Sơn Trà,Đà Nẵng,xuat_sac,web,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,ca_hai,Cải thiện điểm số,150000,4,dang_tim_gia_su,2026-03-11
HS_WB_0006,Bùi Thị An,THPT_GD,THPT Gia Định,thpt,LOP_12,Lớp 12,thpt,KV_HCM_Q4,Quận 4,Quận 4,Hồ Chí Minh,yeu,web,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,truc_tiep,Cải thiện điểm số,200000,2,dang_tim_gia_su,2026-03-18
HS_WB_0007,Lý Thái Đạt,THPT_TP_DN,THPT Trần Phú,thpt,LOP_10,Lớp 10,thpt,KV_HCM_Q1,Quận 1,Quận 1,Hồ Chí Minh,xuat_sac,web,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,ca_hai,Cải thiện điểm số,250000,2,dang_tim_gia_su,2026-03-15
HS_WB_0008,Bùi Thái Phú,THPT_CVA,THPT Chu Văn An,thpt,LOP_10,Lớp 10,thpt,KV_HN_NTL,Nam Từ Liêm,Nam Từ Liêm,Hà Nội,trung_binh,web,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,truc_tiep,Cải thiện điểm số,200000,2,dang_tim_gia_su,2026-03-16
HS_WB_0009,Đỗ Xuân Mai,THPT_NTH_HCM,THPT Nguyễn Thượng Hiền,thpt,LOP_10,Lớp 10,thpt,KV_DN_TK,Thanh Khê,Thanh Khê,Đà Nẵng,trung_binh,web,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,truc_tiep,Cải thiện điểm số,150000,2,dang_tim_gia_su,2026-03-06
HS_WB_0010,Đặng Thu Trang,THPT_LHP,THPT Chuyên Lê Hồng Phong,thpt,LOP_10,Lớp 10,thpt,KV_HN_DD,Đống Đa,Đống Đa,Hà Nội,gioi,web,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,truc_tiep,Cải thiện điểm số,150000,4,dang_tim_gia_su,2026-04-03
HS_WB_0011,Phạm Thái Đức,THPT_NTH_HCM,THPT Nguyễn Thượng Hiền,thpt,LOP_10,Lớp 10,thpt,KV_HCM_BT,Bình Thạnh,Bình Thạnh,Hồ Chí Minh,kha,web,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,truc_tiep,Cải thiện điểm số,250000,2,dang_tim_gia_su,2026-03-16
HS_WB_0012,Lê Thị Thu,THPT_NVT,THPT Nguyễn Văn Trỗi,thpt,LOP_09,Lớp 9,thcs,KV_DN_NHS,Ngũ Hành Sơn,Ngũ Hành Sơn,Đà Nẵng,trung_binh,web,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,ca_hai,Cải thiện điểm số,200000,4,dang_tim_gia_su,2026-03-19
HS_WB_0013,Nguyễn Hữu Đức,THPT_CVD,THPT Cẩm Lệ,thpt,LOP_12,Lớp 12,thpt,KV_DN_TK,Thanh Khê,Thanh Khê,Đà Nẵng,gioi,web,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,online,Cải thiện điểm số,250000,2,dang_tim_gia_su,2026-03-19
HS_WB_0014,Phạm Hữu Cường,THPT_LQD_DN,THPT Chuyên Lê Quý Đôn,thpt,LOP_12,Lớp 12,thpt,KV_HN_TX,Thanh Xuân,Thanh Xuân,Hà Nội,xuat_sac,web,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,ca_hai,Cải thiện điểm số,250000,3,dang_tim_gia_su,2026-03-22
