ma_gia_su,ho_ten,gioi_tinh,nam_sinh,hoc_vi,chuyen_nganh,truong_hoc_ma,truong_hoc_ten,loai_truong,khu_vuc_ma,ten_khu_vuc,quan_huyen,tinh_thanh,nam_kinh_nghiem,hinh_thuc_day,hoc_phi_trung_binh_gio,nguon_du_lieu,trang_thai,ngay_cap_nhat,mon_hoc_ma,ten_mon_hoc,nhom_mon_hoc,lop_hoc_ma,lop_hoc_ten,cap_hoc,hoc_phi_trung_binh_gio_day_mon,ma_hoc_sinh_danh_gia,diem_xep_hang,ngay_danh_gia
GS_WB_0001,Hoàng Thái Đạt,nam,1996,Cu nhan,Sư phạm Toán,DH_BK_HCM,Đại học Bách Khoa TP.HCM,dai_hoc,KV_DN_CL,Cẩm Lệ,Cẩm Lệ,Đà Nẵng,4,online,200000,web,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,LOP_12,Lớp 12,thpt,200000,HS_WB_0680,4.66,2026-03-18
GS_WB_0002,Trần Hữu Hùng,nam,1997,Thac si,Sư phạm Toán,DH_Y_HN,Đại học Y Hà Nội,dai_hoc,KV_HN_HBT,Hai Bà Trưng,Hai Bà Trưng,Hà Nội,4,ca_hai,180000,web,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,LOP_06,Lớp 6,thcs,180000,HS_WB_0109,4.75,2026-03-07
GS_WB_0003,Đỗ Hữu Đạt,nam,1997,Cu nhan,Sư phạm Toán,DH_NL_HCM,Đại học Nông Lâm TP.HCM,dai_hoc,KV_HN_TX,Thanh Xuân,Thanh Xuân,Hà Nội,6,truc_tiep,180000,web,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_09,Lớp 9,thcs,180000,HS_WB_0127,4.16,2026-03-21
GS_WB_0004,Vũ Mai Mai,nu,2001,Ky su,Quản trị Kinh doanh,DH_CNTT,Đại học Công nghệ Thông tin TP.HCM,dai_hoc,KV_DN_ST,Sơn Trà,Sơn Trà,Đà Nẵng,5,truc_tiep,250000,web,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_10,Lớp 10,thpt,250000,HS_WB_0538,4.97,2026-03-21
GS_WB_0005,Dương Minh Khoa,nam,2001,Cu nhan,Ngôn ngữ Anh,DH_KT_DN,Đại học Kinh tế Đà Nẵng,dai_hoc,KV_HN_HD,Hà Đông,Hà Đông,Hà Nội,1,online,250000,web,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_12,Lớp 12,thpt,250000,HS_WB_0531,4.37,2026-03-13
GS_WB_0006,Đỗ Đình Đạt,nam,2002,Cu nhan,Công nghệ thông tin,DH_KTQD,Đại học Kinh tế Quốc dân,dai_hoc,KV_HN_HBT,Hai Bà Trưng,Hai Bà Trưng,Hà Nội,7,truc_tiep,200000,web,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,LOP_12,Lớp 12,thpt,200000,HS_WB_0165,4.5,2026-03-15
GS_WB_0007,Hoàng Xuân Hân,nu,1998,Ky su,Quản trị Kinh doanh,DH_NL_HCM,Đại học Nông Lâm TP.HCM,dai_hoc,KV_HCM_Q5,Quận 5,Quận 5,Hồ Chí Minh,4,online,250000,web,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,LOP_12,Lớp 12,thpt,250000,HS_WB_0660,4.47,2026-03-09
GS_WB_0008,Ngô Đức Đạt,nam,2001,Cu nhan,Quản trị Kinh doanh,DH_Y_HCM,Đại học Y Dược TP.HCM,dai_hoc,KV_DN_HC,Hải Châu,Hải Châu,Đà Nẵng,2,truc_tiep,180000,web,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_10,Lớp 10,thpt,180000,HS_WB_0960,3.72,2026-03-25
GS_WB_0009,Lê Ngọc An,nu,1999,Thac si,Công nghệ thông tin,DH_NL_HCM,Đại học Nông Lâm TP.HCM,dai_hoc,KV_HCM_GV,Gò Vấp,Gò Vấp,Hồ Chí Minh,6,truc_tiep,250000,web,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,LOP_09,Lớp 9,thcs,250000,HS_WB_0986,4.43,2026-03-24
GS_WB_0010,Phạm Ngọc Thu,nu,2002,Cu nhan,Công nghệ thông tin,DH_KHTN_HN,Đại học Khoa học Tự nhiên Hà Nội,dai_hoc,KV_HN_TX,Thanh Xuân,Thanh Xuân,Hà Nội,5,ca_hai,180000,web,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,LOP_06,Lớp 6,thcs,180000,HS_WB_0732,3.75,2026-03-11
